x,y,cluster
16.68,24.799999,3
27.49,13.02,0
36.32,-0.15,2
17.49,35.029999,3
24.360001,19.84,0
23.280001,31.51,3
27.49,13.02,0
9.64,27.51,3
23.280001,31.51,3
24.360001,19.84,0
16.68,24.799999,3
27.49,13.02,0
16.68,24.799999,3
27.49,13.02,0
27.49,13.02,0
23.280001,31.51,3
9.64,27.51,3
27.49,13.02,0
27.49,13.02,0
16.68,24.799999,3
27.49,13.02,0
9.64,27.51,3
16.68,24.799999,3
17.299999,24.799999,3
7.3,34.419998,3
9.64,27.51,3
9.64,27.51,3
9.64,27.51,3
27.49,13.02,0
9.64,27.51,3
9.64,27.51,3
16.68,24.799999,3
16.68,24.799999,3
9.64,27.51,3
16.68,24.799999,3
27.49,13.02,0
16.68,24.799999,3
27.49,13.02,0
9.64,27.51,3
27.49,13.02,0
9.64,27.51,3
16.68,24.799999,3
27.49,13.02,0
9.64,27.51,3
27.49,13.02,0
9.64,28.799999,3
27.49,13.02,0
27.49,13.02,0
16.68,24.799999,3
16.68,24.799999,3
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
9.64,27.51,3
27.49,21.200001,0
27.49,13.02,0
27.49,20.6,0
16.68,24.799999,3
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
9.64,27.51,3
27.49,13.02,0
27.49,13.02,0
16.68,24.799999,3
27.49,13.02,0
27.49,4.9,2
16.68,24.799999,3
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
16.68,24.799999,3
27.49,13.02,0
16.68,24.799999,3
16.68,24.799999,3
27.49,13.02,0
15.7,24.799999,3
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
16.68,24.799999,3
16.68,24.799999,3
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
27.49,6.5,0
16.68,24.799999,3
16.68,24.799999,3
27.49,13.02,0
27.49,6.5,0
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
16.68,24.799999,3
27.49,13.02,0
16.68,24.799999,3
37.43,5.0,2
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
24.299999,21.639999,0
16.68,24.799999,3
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
16.68,24.799999,3
16.68,24.799999,3
21.799999,13.02,0
16.68,24.799999,3
27.49,13.02,0
21.799999,13.02,0
21.799999,12.2,0
21.799999,13.02,0
27.49,13.02,0
27.49,13.02,0
20.200001,13.02,0
27.49,13.02,0
16.68,24.799999,3
27.49,13.02,0
21.799999,13.02,0
16.68,24.799999,3
27.49,13.02,0
20.200001,13.02,0
20.200001,13.02,0
21.799999,13.02,0
25.700001,26.799999,3
21.799999,12.2,0
16.68,24.799999,3
27.49,13.02,0
16.68,24.799999,3
21.799999,12.2,0
27.49,13.02,0
21.799999,12.2,0
20.200001,13.02,0
20.200001,13.02,0
16.68,17.299999,3
16.68,24.799999,3
27.49,13.02,0
21.799999,12.2,0
16.68,24.799999,3
16.68,24.799999,3
21.799999,12.2,0
20.200001,13.02,0
37.200001,13.02,0
16.68,24.799999,3
21.799999,12.2,0
16.68,24.799999,3
27.49,13.02,0
27.49,13.02,0
16.68,24.799999,3
13.4,24.799999,3
16.68,24.799999,3
16.68,24.799999,3
19.799999,12.2,0
16.68,24.799999,3
27.49,13.02,0
27.49,13.02,0
19.799999,12.2,0
31.6,24.799999,0
16.68,24.799999,3
27.49,13.02,0
27.49,18.9,0
16.68,24.799999,3
16.68,24.799999,3
27.49,13.02,0
16.68,24.799999,3
27.49,13.02,0
37.07,8.8,2
27.49,13.02,0
27.49,18.9,0
27.49,13.02,0
16.68,24.799999,3
29.5,21.639999,0
16.68,24.799999,3
27.49,13.02,0
27.49,13.02,0
16.68,24.799999,3
29.5,21.639999,0
27.49,13.02,0
27.49,11.4,0
27.49,13.02,0
16.68,24.799999,3
16.68,24.799999,3
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
27.49,11.4,0
27.49,13.02,0
27.49,7.3,0
16.68,24.799999,3
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
27.49,7.3,0
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
16.68,24.799999,3
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
27.49,26.299999,0
16.68,24.799999,3
27.49,13.02,0
27.49,13.02,0
27.49,13.02,0
16.68,24.799999,3
16.68,24.799999,3
27.49,13.02,0
27.49,13.02,0
16.68,24.799999,3
27.49,13.02,0
27.49,13.02,0
27.49,24.700001,0
27.49,9.9,0
16.68,24.799999,3
27.49,13.02,0
27.49,15.4,0
16.68,24.799999,3
27.49,13.02,0
27.49,19.1,0
27.49,13.02,0
27.49,13.02,0
37.43,1.8,2
27.49,0.4,2
27.49,13.02,0
14.4,24.799999,3
24.1,24.700001,3
16.68,24.799999,3
27.49,13.02,0
27.49,13.02,0
27.49,19.1,0
24.1,7.8,0
27.49,13.02,0
27.49,13.02,0
14.4,24.799999,3
24.1,24.700001,3
27.49,19.1,0
16.68,24.799999,3
27.49,13.02,0
27.49,13.02,0
16.68,24.799999,3
27.49,13.02,0
24.1,7.8,0
24.1,24.700001,3
27.49,13.02,0
16.68,24.799999,3
16.68,24.799999,3
34.009998,17.4,0
37.23,1.26,2
26.870001,5.71,0
30.870001,5.59,2
36.240002,12.61,0
34.009998,17.4,0
37.23,1.26,2
20.059999,15.12,0
26.870001,5.71,0
34.009998,15.1,0
30.870001,5.59,2
30.870001,5.59,2
26.870001,5.71,0
20.059999,15.12,0
34.009998,17.4,0
37.23,1.26,2
20.059999,15.12,0
20.059999,15.12,0
30.870001,5.59,2
26.870001,2.1,2
37.23,1.26,2
36.240002,12.61,0
26.870001,5.71,0
34.009998,17.4,0
37.23,1.26,2
37.23,1.26,2
37.23,1.26,2
34.009998,17.4,0
34.009998,17.4,0
32.0,12.61,0
37.23,1.26,2
34.009998,17.4,0
26.870001,21.200001,0
34.009998,17.4,0
37.23,1.26,2
36.240002,12.61,0
31.4,12.61,0
26.870001,2.1,2
34.009998,17.4,0
34.009998,17.4,0
37.23,1.26,2
34.009998,17.4,0
37.23,1.26,2
34.009998,17.4,0
34.009998,17.4,0
37.23,1.26,2
31.4,12.61,0
37.23,1.26,2
26.870001,2.1,2
26.870001,2.1,2
37.23,1.26,2
34.009998,17.4,0
37.23,1.26,2
37.23,1.26,2
37.23,-1.9,2
37.23,1.26,2
37.23,1.26,2
34.009998,17.4,0
26.870001,2.1,2
37.23,1.26,2
26.870001,2.1,2
34.009998,17.4,0
37.23,1.26,2
26.870001,2.1,2
26.870001,2.1,2
19.799999,24.280001,3
31.4,12.61,0
37.23,1.26,2
26.870001,2.1,2
37.23,1.26,2
37.23,1.26,2
34.009998,17.4,0
37.23,1.26,2
19.799999,24.280001,3
19.799999,24.280001,3
37.23,1.26,2
