x,y,cluster
34.91,6.03,2
23.950001,21.379999,1
34.91,6.03,2
18.26,21.51,1
18.26,21.51,1
23.950001,21.379999,1
34.91,6.03,2
34.91,6.03,2
23.950001,21.379999,1
34.91,6.03,2
34.91,6.03,2
34.91,6.03,2
34.91,6.03,2
34.91,6.03,2
34.91,6.03,2
18.26,21.51,1
34.91,6.03,2
34.91,6.03,2
34.91,6.03,2
34.91,6.03,2
18.26,21.51,1
34.91,6.03,2
34.91,7.4,2
34.91,6.03,2
34.91,6.03,2
18.26,21.51,1
34.91,6.03,2
34.91,6.03,2
34.91,7.4,2
34.91,6.03,2
34.91,6.03,2
34.91,6.03,2
34.91,6.03,2
34.91,7.4,2
34.91,6.03,2
34.91,6.03,2
34.91,6.03,2
34.91,6.03,2
34.91,7.4,2
34.91,8.3,2
34.91,6.03,2
34.91,7.4,2
34.91,6.03,2
34.91,7.4,2
34.91,7.4,2
34.91,7.4,2
34.91,6.03,2
34.91,6.03,2
34.91,7.4,2
34.91,7.4,2
34.91,6.03,2
34.91,7.4,2
34.91,6.03,2
34.91,7.4,2
34.91,6.03,2
34.91,7.4,2
34.91,6.03,2
34.91,6.03,2
34.91,7.4,2
34.91,7.4,2
34.91,6.03,2
34.91,7.4,2
34.91,6.03,2
34.91,7.4,2
34.91,7.4,2
34.91,7.4,2
34.91,6.03,2
34.91,7.4,2
34.91,7.4,2
34.91,6.03,2
34.91,6.03,2
34.91,7.4,2
34.91,7.4,2
34.91,16.299999,2
34.91,6.03,2
34.91,7.4,2
34.91,6.03,2
34.91,16.299999,2
34.91,6.03,2
34.91,7.4,2
34.91,6.03,2
34.91,6.03,2
34.91,6.03,2
34.91,7.4,2
34.91,7.4,2
34.91,6.03,2
34.91,6.03,2
34.91,7.4,2
34.91,7.4,2
34.91,6.03,2
34.91,6.03,2
34.91,6.03,2
34.91,7.4,2
34.91,7.4,2
34.91,6.03,2
34.91,7.4,2
34.91,6.03,2
34.91,1.0,2
34.91,6.03,2
34.91,6.03,2
34.91,6.03,2
34.91,6.03,2
34.91,7.4,2
34.91,6.03,2
34.91,7.4,2
34.91,7.4,2
34.91,6.03,2
34.91,6.03,2
34.91,7.4,2
34.91,6.03,2
34.91,7.4,2
34.91,6.03,2
34.91,7.4,2
34.91,6.03,2
34.91,7.4,2
34.91,6.03,2
34.91,6.03,2
34.91,6.03,2
34.91,7.4,2
34.91,7.4,2
34.91,6.03,2
34.91,7.4,2
34.91,6.03,2
34.91,2.6,2
34.91,6.03,2
34.91,6.03,2
34.91,7.4,2
34.91,7.4,2
34.91,6.03,2
34.91,7.4,2
34.91,6.03,2
38.5,6.03,2
34.91,2.6,2
34.91,2.0,2
34.91,7.4,2
34.91,2.6,2
34.91,6.03,2
34.91,6.03,2
34.91,7.4,2
34.91,9.3,2
34.91,6.03,2
34.91,6.03,2
34.91,7.4,2
34.91,6.03,2
34.91,7.4,2
34.91,22.200001,1
34.91,-9.6,2
34.91,6.03,2
34.91,7.4,2
34.91,6.03,2
34.91,6.03,2
34.91,6.03,2
34.91,7.4,2
34.91,7.4,2
34.91,7.4,2
34.91,6.03,2
34.91,6.03,2
34.91,7.4,2
34.91,7.4,2
34.91,6.03,2
34.91,6.03,2
34.91,7.4,2
34.91,6.03,2
34.91,6.03,2
34.91,6.03,2
34.91,6.03,2
34.91,7.4,2
34.91,6.03,2
34.91,8.5,2
34.91,8.7,2
34.91,2.9,2
34.91,6.03,2
34.91,6.03,2
34.91,6.03,2
34.91,7.4,2
34.91,6.03,2
34.91,2.9,2
34.91,8.7,2
34.91,6.03,2
34.91,7.4,2
34.91,8.7,2
34.91,2.9,2
34.91,8.7,2
34.91,6.03,2
34.91,6.03,2
34.91,6.03,2
34.91,6.03,2
34.91,6.03,2
34.91,7.4,2
34.91,2.9,2
34.91,6.03,2
34.91,18.1,2
40.099998,8.7,2
34.91,2.9,2
34.91,6.03,2
34.91,8.7,2
34.91,6.03,2
34.91,7.4,2
34.91,6.03,2
34.91,8.7,2
34.91,7.4,2
34.91,2.9,2
34.91,6.03,2
34.91,7.4,2
34.91,5.2,2
34.91,1.3,2
34.91,2.9,2
34.91,8.7,2
34.91,6.03,2
34.91,13.2,2
34.91,6.03,2
34.91,6.03,2
34.91,7.4,2
34.91,1.3,2
34.91,5.2,2
34.91,7.4,2
34.91,6.03,2
34.91,6.03,2
34.91,5.2,2
34.91,1.3,2
34.91,6.03,2
34.91,7.4,2
34.91,5.2,2
34.91,6.03,2
34.91,6.03,2
34.91,6.03,2
34.91,5.2,2
34.91,7.4,2
34.91,7.4,2
34.91,5.2,2
34.91,6.03,2
34.91,7.4,2
34.91,6.03,2
34.91,7.4,2
34.91,7.4,2
34.91,8.1,2
34.91,6.03,2
34.91,7.4,2
34.91,7.4,2
34.91,7.4,2
34.91,6.03,2
34.91,7.4,2
34.91,7.4,2
34.91,8.1,2
34.91,6.03,2
34.91,7.4,2
34.91,7.4,2
34.91,6.03,2
34.91,7.4,2
34.91,21.299999,1
34.91,6.03,2
34.91,8.1,2
34.91,6.03,2
34.91,6.03,2
20.209999,17.610001,1
20.68,20.860001,1
20.209999,17.610001,1
20.209999,17.610001,1
20.209999,17.610001,1
20.68,20.860001,1
20.209999,17.610001,1
20.68,20.860001,1
