x,y,cluster
16.68,24.799999,5
27.49,13.02,2
36.32,-0.15,1
17.49,35.029999,0
24.360001,19.84,5
23.280001,31.51,5
27.49,13.02,2
9.64,27.51,0
23.280001,31.51,5
24.360001,19.84,5
16.68,24.799999,5
27.49,13.02,2
16.68,24.799999,5
27.49,13.02,2
27.49,13.02,2
23.280001,31.51,5
9.64,27.51,0
27.49,13.02,2
27.49,13.02,2
16.68,24.799999,5
27.49,13.02,2
9.64,27.51,0
16.68,24.799999,5
17.299999,24.799999,5
7.3,34.419998,0
9.64,27.51,0
9.64,27.51,0
9.64,27.51,0
27.49,13.02,2
9.64,27.51,0
9.64,27.51,0
16.68,24.799999,5
16.68,24.799999,5
9.64,27.51,0
16.68,24.799999,5
27.49,13.02,2
16.68,24.799999,5
27.49,13.02,2
9.64,27.51,0
27.49,13.02,2
9.64,27.51,0
16.68,24.799999,5
27.49,13.02,2
9.64,27.51,0
27.49,13.02,2
9.64,28.799999,0
27.49,13.02,2
27.49,13.02,2
16.68,24.799999,5
16.68,24.799999,5
27.49,13.02,2
27.49,13.02,2
27.49,13.02,2
9.64,27.51,0
27.49,21.200001,4
27.49,13.02,2
27.49,20.6,4
16.68,24.799999,5
27.49,13.02,2
27.49,13.02,2
27.49,13.02,2
9.64,27.51,0
27.49,13.02,2
27.49,13.02,2
16.68,24.799999,5
27.49,13.02,2
27.49,4.9,2
16.68,24.799999,5
27.49,13.02,2
27.49,13.02,2
27.49,13.02,2
16.68,24.799999,5
27.49,13.02,2
16.68,24.799999,5
16.68,24.799999,5
27.49,13.02,2
15.7,24.799999,5
27.49,13.02,2
27.49,13.02,2
27.49,13.02,2
16.68,24.799999,5
16.68,24.799999,5
27.49,13.02,2
27.49,13.02,2
27.49,13.02,2
27.49,13.02,2
27.49,13.02,2
27.49,13.02,2
27.49,6.5,2
16.68,24.799999,5
16.68,24.799999,5
27.49,13.02,2
27.49,6.5,2
27.49,13.02,2
27.49,13.02,2
27.49,13.02,2
27.49,13.02,2
