x,y,cluster
-9.16,24.08,0
-10.77,32.66,0
-8.38,26.75,0
-9.16,24.08,0
-10.77,32.66,0
-9.16,24.08,0
-8.38,29.5,0
-9.16,24.08,0
-9.16,24.08,0
-9.16,24.08,0
-9.16,24.08,0
-9.16,24.08,0
-10.77,32.66,0
-10.77,32.66,0
-9.16,24.08,0
-9.16,24.08,0
-9.16,24.08,0
-9.16,24.08,0
-8.38,29.5,0
-9.16,24.08,0
-10.77,32.66,0
-9.16,24.08,0
-9.16,24.08,0
-9.16,24.08,0
-9.16,24.08,0
-10.77,32.66,0
-10.77,32.66,0
-9.16,24.08,0
-10.77,32.66,0
-9.16,24.08,0
-9.16,24.08,0
-10.77,32.66,0
-9.16,24.08,0
-9.16,24.08,0
-9.16,24.08,0
-9.16,24.08,0
-9.16,24.08,0
-10.77,32.66,0
-9.16,24.08,0
-9.16,24.08,0
-9.16,24.08,0
-9.16,24.08,0
-9.16,24.08,0
-9.16,24.08,0
-12.6,24.08,0
-9.16,24.08,0
-10.77,32.66,0
-9.16,24.08,0
-9.16,26.200001,0
-9.16,24.08,0
-9.16,36.099998,0
-9.16,24.08,0
-9.16,24.08,0
-20.6,24.08,0
-9.16,24.08,0
-10.77,32.66,0
-9.16,24.08,0
-20.6,24.08,0
-9.16,24.08,0
-9.16,24.08,0
-9.16,24.08,0
-9.16,26.200001,0
-9.16,33.200001,0
-9.16,24.08,0
-10.77,32.66,0
-9.16,26.200001,0
-9.16,24.08,0
-9.16,26.200001,0
-9.16,24.08,0
-9.16,24.08,0
-9.16,24.08,0
-9.16,24.08,0
-9.16,24.08,0
-10.77,32.66,0
-9.16,24.08,0
-9.16,26.200001,0
-9.16,26.200001,0
-9.16,26.200001,0
-9.16,26.200001,0
-9.16,24.08,0
-9.16,24.08,0
-9.16,24.08,0
-9.16,24.08,0
-10.77,32.66,0
-9.16,26.200001,0
-9.16,26.200001,0
-9.16,26.200001,0
-9.16,24.08,0
-9.16,26.200001,0
-9.16,24.08,0
