x,y,cluster
9.33,1.56,3
9.33,1.56,3
19.879999,1.76,0
26.42,4.9,2
19.879999,1.76,0
19.879999,1.76,0
19.879999,1.76,0
19.879999,1.76,0
19.879999,1.76,0
19.879999,1.76,0
19.879999,1.76,0
19.879999,1.76,0
19.879999,1.76,0
19.879999,2.73,0
19.879999,1.76,0
19.879999,1.76,0
39.200001,1.76,1
19.879999,1.76,0
19.879999,1.76,0
19.879999,1.84,0
19.879999,0.19,0
19.879999,0.27,0
19.879999,2.73,0
19.879999,1.57,0
19.879999,5.89,2
19.879999,1.76,0
19.879999,0.21,0
19.879999,1.76,0
19.879999,1.57,0
19.879999,1.76,0
19.879999,1.76,0
19.879999,1.76,0
16.1,1.57,0
18.1,1.76,0
19.879999,1.76,0
19.879999,1.76,0
19.879999,1.86,0
18.1,4.36,2
24.700001,2.51,0
19.879999,1.16,0
19.879999,1.76,0
19.879999,1.76,0
19.879999,1.76,0
16.4,1.76,0
16.4,1.76,0
19.879999,1.76,0
19.879999,1.76,0
19.879999,1.76,0
19.879999,5.52,2
19.879999,1.76,0
19.879999,1.76,0
19.879999,1.76,0
19.879999,5.52,2
19.879999,1.76,0
19.879999,5.52,2
19.879999,5.52,2
19.879999,5.52,2
19.879999,1.76,0
19.879999,5.96,2
19.879999,1.76,0
19.879999,5.52,2
19.879999,1.76,0
19.879999,1.76,0
20.4,5.52,2
19.879999,0.82,0
19.879999,5.52,2
19.879999,5.52,2
19.879999,1.76,0
19.879999,5.52,2
19.879999,0.82,0
19.879999,1.76,0
19.879999,5.52,2
19.879999,5.52,2
