x,y,cluster
26.530001,6.09,0
39.150002,-2.74,1
28.799999,9.51,0
26.530001,6.09,0
39.150002,-2.74,1
39.150002,-2.74,1
26.530001,6.09,0
39.150002,-1.6,1
26.530001,7.1,0
26.530001,6.09,0
26.530001,6.09,0
39.150002,-1.6,1
39.150002,-1.6,1
39.150002,-1.6,1
26.530001,6.09,0
26.530001,6.09,0
39.150002,-1.6,1
39.150002,-1.6,1
39.150002,-1.6,1
39.150002,-1.6,1
39.150002,-1.6,1
26.530001,6.09,0
39.150002,-1.6,1
39.150002,-1.6,1
39.150002,-1.6,1
26.530001,6.09,0
39.150002,-1.6,1
33.5,16.200001,3
39.150002,-1.6,1
26.530001,6.09,0
39.150002,13.8,3
26.530001,6.09,0
39.150002,-1.6,1
26.530001,6.09,0
39.150002,-1.6,1
26.530001,6.09,0
26.530001,6.09,0
39.150002,-1.6,1
39.150002,-1.6,1
26.530001,6.09,0
8.9,31.0,2
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
39.299999,6.09,3
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
39.299999,6.09,3
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
39.299999,6.09,3
39.299999,6.09,3
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,15.0,0
26.530001,6.09,0
26.530001,6.09,0
22.0,15.0,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
26.530001,6.09,0
