x,y,cluster
42.91,0.74,1
23.27,29.950001,2
-21.02,24.43,0
42.91,0.74,1
23.27,29.950001,2
-21.02,24.43,0
42.91,3.69,1
23.27,29.950001,2
-21.02,24.43,0
44.200001,0.74,1
23.27,29.950001,2
-21.02,22.6,0
42.91,0.74,1
-36.299999,29.950001,7
-21.02,24.43,0
42.91,0.74,1
23.27,29.950001,2
-21.02,24.43,0
42.91,0.74,1
23.27,29.950001,2
-21.02,24.43,0
42.91,0.74,1
23.27,29.950001,2
-21.02,24.43,0
42.91,0.74,1
23.27,29.950001,2
-21.02,24.43,0
42.91,0.74,1
23.27,29.950001,2
-21.02,24.43,0
42.91,3.69,1
23.27,29.950001,2
-21.02,24.43,0
42.91,0.74,1
-36.299999,29.950001,7
-21.02,24.43,0
42.91,0.74,1
27.200001,29.950001,2
-21.02,24.43,0
8.0,0.74,3
23.27,29.950001,2
-21.02,24.43,0
42.91,0.74,1
-36.299999,29.950001,7
-21.02,24.43,0
42.91,0.74,1
23.27,29.950001,2
-21.02,24.43,0
42.91,0.74,1
23.27,22.799999,2
-21.02,24.43,0
42.91,0.74,1
23.27,29.950001,2
-21.02,24.43,0
42.91,3.69,1
23.27,29.950001,2
-21.02,24.43,0
42.91,0.74,1
31.799999,29.950001,2
-21.02,24.43,0
42.91,0.71,1
23.27,29.950001,2
-21.02,24.43,0
42.91,0.74,1
23.27,29.950001,2
-2.1,24.43,6
42.91,0.74,1
-36.299999,29.950001,7
-21.02,24.43,0
42.91,0.74,1
23.27,29.950001,2
-21.02,24.43,0
42.91,0.74,1
-36.299999,29.950001,7
-21.02,24.43,0
42.91,3.69,1
23.27,29.950001,2
-21.02,24.43,0
42.91,0.74,1
23.27,29.950001,2
-21.02,24.43,0
42.91,3.69,1
23.27,29.950001,2
-21.02,24.43,0
42.91,0.74,1
23.27,15.0,5
-2.1,24.43,6
42.91,0.74,1
-36.299999,29.950001,7
-21.02,24.43,0
42.91,3.69,1
23.27,29.950001,2
-21.02,24.43,0
42.91,0.74,1
23.27,29.950001,2
-21.02,24.43,0
42.91,0.74,1
31.799999,29.950001,2
-21.02,24.43,0
42.91,0.74,1
23.27,29.950001,2
-21.02,24.43,0
42.91,3.69,1
23.27,29.950001,2
-21.02,24.43,0
42.91,0.74,1
